"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Time delta from previous captured frame","Sequence Number","TCP Flags","This is an ACK to the segment in frame","TCP payload","Payload","Header Length","Info"
"1","09:38:34.697732","192.168.0.102","224.0.0.251","MDNS","602","","0.000000000","","","","","000084000000000c00000005095f6b65726265726f731261736d6175732d4d6163426f6fâ\200\246","","Standard query response 0x0000 TXT TXT, cache flush PTR _smb._tcp.local PTR asmauâ\200\231s MacBook Air._smb._tcp.local TXT TXT, cache flush PTR _afpovertcp._tcp.local PTR asmauâ\200\231s MacBook Air._afpovertcp._tcp.local SRV, cache flush 0 0 445 asmaus-MacBook-Air.local SRV, cache flush 0 0 548 asmaus-MacBook-Air.local PTR, cache flush asmaus-MacBook-Air.local A, cache flush 192.168.0.102 NSEC, cache flush asmauâ\200\231s MacBook Air._smb._tcp.local NSEC, cache flush asmauâ\200\231s MacBook Air._afpovertcp._tcp.local NSEC, cache flush 102.0.168.192.in-addr.arpa NSEC, cache flush asmaus-MacBook-Air.local OPT"
"2","09:38:34.698019","192.168.0.102","224.0.0.251","MDNS","602","","0.000287000","","","","","000084000000000c00000005095f6b65726265726f731261736d6175732d4d6163426f6fâ\200\246","","Standard query response 0x0000 TXT TXT, cache flush PTR _smb._tcp.local PTR asmauâ\200\231s MacBook Air._smb._tcp.local TXT TXT, cache flush PTR _afpovertcp._tcp.local PTR asmauâ\200\231s MacBook Air._afpovertcp._tcp.local SRV, cache flush 0 0 445 asmaus-MacBook-Air.local SRV, cache flush 0 0 548 asmaus-MacBook-Air.local PTR, cache flush asmaus-MacBook-Air.local A, cache flush 192.168.0.102 NSEC, cache flush asmauâ\200\231s MacBook Air._smb._tcp.local NSEC, cache flush asmauâ\200\231s MacBook Air._afpovertcp._tcp.local NSEC, cache flush 102.0.168.192.in-addr.arpa NSEC, cache flush asmaus-MacBook-Air.local OPT"
"3","09:38:35.328821","192.168.0.102","224.0.0.251","MDNS","161","","0.630802000","","","","","000000000001000000000001013601330131016301610132016501660166016601300164â\200\246","","Standard query 0x0000 PTR 6.3.1.c.a.2.e.f.f.f.0.d.9.c.2.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question OPT"
"4","09:38:35.328997","192.168.0.102","224.0.0.251","MDNS","161","","0.000176000","","","","","000000000001000000000001013601330131016301610132016501660166016601300164â\200\246","","Standard query 0x0000 PTR 6.3.1.c.a.2.e.f.f.f.0.d.9.c.2.2.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question OPT"
"5","09:38:36.520313","192.168.0.101","52.210.184.200","TCP","66","0.000000000","1.191316000","1","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","58088  >  443 [ACK] Seq=1 Ack=1 Win=8022 Len=0 TSval=3280795072 TSecr=4095776527"
"6","09:38:36.539808","52.210.184.200","192.168.0.101","TCP","66","0.019495000","0.019495000","1","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP ACKed unseen segment] 443  >  58088 [ACK] Seq=1 Ack=2 Win=425 Len=0 TSval=4095791692 TSecr=3280779927"
"7","09:38:37.020608","192.168.0.101","34.240.107.124","TLSv1.2","97","0.000000000","0.480800000","1","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","","170303001a00000000000005b6f2a077839265cf66d18bfd221b6d8ca23df8","","32","Application Data"
"8","09:38:37.042073","34.240.107.124","192.168.0.101","TLSv1.2","97","0.021465000","0.021465000","1","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","7","170303001a00000000000005b7261c56c3a2b256f85e576299e547a278b50f","","32","Application Data"
"9","09:38:37.042570","192.168.0.101","34.240.107.124","TCP","66","0.000497000","0.000497000","32","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","8","","","32","49730  >  443 [ACK] Seq=32 Ack=32 Win=1002 Len=0 TSval=2001353052 TSecr=914689024"
"10","09:38:38.044033","192.168.0.1","239.255.255.250","SSDP","306","","1.001463000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"11","09:38:38.147697","192.168.0.1","239.255.255.250","SSDP","315","","0.103664000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"12","09:38:38.251657","192.168.0.1","239.255.255.250","SSDP","378","","0.103960000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"13","09:38:38.355770","192.168.0.1","239.255.255.250","SSDP","370","","0.104113000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"14","09:38:38.459806","192.168.0.1","239.255.255.250","SSDP","315","","0.104036000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"15","09:38:38.563645","192.168.0.1","239.255.255.250","SSDP","354","","0.103839000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"16","09:38:38.667754","192.168.0.1","239.255.255.250","SSDP","386","","0.104109000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"17","09:38:38.771799","192.168.0.1","239.255.255.250","SSDP","315","","0.104045000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"18","09:38:38.875657","192.168.0.1","239.255.255.250","SSDP","374","","0.103858000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"19","09:38:38.979742","192.168.0.1","239.255.255.250","SSDP","368","","0.104085000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"20","09:38:39.083746","192.168.0.1","239.255.255.250","SSDP","315","","0.104004000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"21","09:38:39.187636","192.168.0.1","239.255.255.250","SSDP","370","","0.103890000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"22","09:38:39.291731","192.168.0.1","239.255.255.250","SSDP","380","","0.104095000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
